index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 1-Listeners,Prim: Jan. 12-Listeners,collab,peak daily rank,peak daily play count,listener difference,listener diff. %,career status,Prim: Jan. 1-Followers,Prim: Jan 12-Followers,current engagement,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
57,2021-01-07T00:00:00.000Z,58,Still Trappin' (with King Von),32390356,"['Lil Durk', 'King Von']","[4449, 1136101]",333215,20,8.14285714285714,Lil Durk,King Von,4449,1136101.0,18230130,18725108,True,58,350577,494978,2.7151644009121165,comfortable,2073783,2038923,0.10888711563105537,0.11375579877927365,-34860,-1.6809859083616752,-0.0048686831482182835,-4.2799428253018075
58,2021-01-07T00:00:00.000Z,59,More Than My Hometown,29097093,['Morgan Wallen'],[212715],330483,121,2.0,Morgan Wallen,,212715,,9672494,10403805,False,18,698510,731311,7.560728391250489,indie,1172572,1109726,0.1066653979000952,0.12122747245953319,-62846,-5.359670877353373,-0.01456207455943799,-12.01219019418139
59,2021-01-07T00:00:00.000Z,60,Martin & Gina,29427847,['Polo G'],[1120779],328025,162,0.857142857142857,Polo G,,1120779,,13991170,13676182,False,60,337357,-314988,-2.2513342343778255,comfortable,2803350,2726828,0.19938517928468633,0.20036565919790839,-76522,-2.729662724954073,-0.0009804799132220599,-0.4893452885824135
60,2021-01-07T00:00:00.000Z,61,Hayloft,11176560,['Mother Mother'],[46684],327062,18,2.28571428571429,Mother Mother,,46684,,4435840,4944494,False,61,333250,508654,11.466914947338045,indie,935632,860804,0.17409344616456204,0.21092555186841724,-74828,-7.99758879559485,-0.0368321057038552,-17.462135515393772
61,2021-01-07T00:00:00.000Z,62,Prisoner (feat. Dua Lipa),32011799,"['Miley Cyrus', 'Dua Lipa']","[2619, 5381]",326993,46,0.285714285714286,Miley Cyrus,Dua Lipa,2619,5381.0,44232758,43646716,True,62,336632,-586042,-1.3249049494042402,superstar,13767139,13646526,0.31265871182610855,0.31124306108156313,-120613,-0.8760934279809335,0.0014156507445454158,0.4548376884696029
62,2021-01-07T00:00:00.000Z,63,Wonder,31523931,['Shawn Mendes'],[4934],326408,38,3.0,Shawn Mendes,,4934,,54590555,53912500,False,63,334694,-678055,-1.2420738349335338,superstar,30788429,30639000,0.5683097611871087,0.5639882027211484,-149429,-0.48534142485802056,0.0043215584659603845,0.7662497983308145
63,2021-01-07T00:00:00.000Z,64,7 Summers,30989749,['Morgan Wallen'],[212715],325468,121,2.14285714285714,Morgan Wallen,,212715,,9672494,10403805,False,16,717598,731311,7.560728391250489,indie,1172572,1109726,0.1066653979000952,0.12122747245953319,-62846,-5.359670877353373,-0.01456207455943799,-12.01219019418139
64,2021-01-07T00:00:00.000Z,65,Holy (feat. Chance The Rapper),31390960,"['Justin Bieber', 'Chance the Rapper']","[3479, 4257]",324470,115,-1.71428571428571,Justin Bieber,Chance the Rapper,3479,4257.0,78265852,76291592,True,65,324470,-1974260,-2.5225049616785618,superstar,41222799,40838017,0.5352885675789804,0.5267022327949614,-384782,-0.9334203628433867,0.008586334784018934,1.6302066422721024
65,2021-01-07T00:00:00.000Z,66,LA NOCHE DE ANOCHE,32087490,"['Bad Bunny', 'ROSALÍA']","[214945, 612801]",323877,46,-0.571428571428571,Bad Bunny,ROSALÍA,214945,612801.0,50180625,50702157,True,66,356713,521532,1.0393094944512948,superstar,28617562,28216849,0.5565216682990429,0.5702910635329871,-400713,-1.4002345832255034,-0.01376939523394416,-2.4144504647577567
66,2021-01-07T00:00:00.000Z,67,Sofia,24684205,['Clairo'],[601559],320471,116,1.85714285714286,Clairo,,601559,,13705195,13549341,False,67,335477,-155854,-1.137189219124573,comfortable,2091188,2042880,0.1507733844767801,0.15258360059816733,-48308,-2.310074464849645,-0.001810216121387237,-1.1863765924324237
67,2021-01-07T00:00:00.000Z,68,Save Your Tears,28793673,['The Weeknd'],[3852],320000,48,,The Weeknd,,3852,,65395895,65846267,False,17,582465,450372,0.6886854289554413,superstar,27448629,27109569,0.41171003665249545,0.419730152787113,-339060,-1.2352529519780386,-0.008020116134617561,-1.9107791235301985
68,2021-01-07T00:00:00.000Z,69,Dead Man Walking,31385768,['Brent Faiyaz'],[207300],318520,30,2.57142857142857,Brent Faiyaz,,207300,,6771904,7206089,False,69,332758,434185,6.4115646057593265,indie,1207077,1171286,0.16254115096274832,0.17824780150456948,-35791,-2.9650966756884607,-0.01570665054182116,-8.8116938381529
69,2021-01-07T00:00:00.000Z,70,Before You Go,27430934,['Lewis Capaldi'],[550208],315022,413,1.71428571428571,Lewis Capaldi,,550208,,29667604,29775254,False,70,340069,107650,0.36285370399308287,comfortable,6434141,6295365,0.2114294306271913,0.21687430505004718,-138776,-2.1568691143075664,-0.005444874422855878,-2.5106129661600005
70,2021-01-07T00:00:00.000Z,71,Dreams - 2004 Remastered Edition,16026997,['Fleetwood Mac'],[100],314157,140,-3.71428571428571,Fleetwood Mac,,100,,22577004,23177557,False,71,339842,600553,2.6600207892951606,comfortable,5832636,5768012,0.24886194865144762,0.25834410978533734,-64624,-1.1079724501923316,-0.009482161133889722,-3.6703608771141005
71,2021-01-07T00:00:00.000Z,72,Life Is Good (feat. Drake),28145374,"['Future', 'Drake']","[3870, 3380]",312738,240,-2.85714285714286,Future,Drake,3870,3380.0,28960782,28771804,True,72,329899,-188978,-0.6525307224093603,comfortable,9723814,9675034,0.3362678961666776,0.33575799161776776,-48780,-0.501655009032464,0.0005099045489098675,0.1518666901874821
72,2021-01-07T00:00:00.000Z,73,Moonwalking in Calabasas Remix,31066749,"['DDG', 'Blueface']","[38708, 1110871]",309948,90,0.428571428571429,DDG,Blueface,38708,1110871.0,5686683,6062167,True,73,334613,375484,6.602864974186182,indie,307601,296696,0.048942234682746284,0.05409146245711252,-10905,-3.545177031284034,-0.005149227774366237,-9.519483372165993
